product_id,product_category_name_english,total_units,total_revenue,avg_price,avg_rating
489ae2aa008f021502940f251d4cce7f,housewares,1,6735.0,6735.0,5.0
69c590f7ffc7bf8db97190b6cb6ed62e,computers,1,6729.0,6729.0,3.0
1bdf5e6731585cf01aa8169c7028d6ad,art,1,6499.0,6499.0,5.0
a6492cc69376c469ab6f61d8f44de961,small_appliances,1,4799.0,4799.0,5.0
c3ed642d592594bb648ff4a04cee2747,small_appliances,1,4690.0,4690.0,4.0
259037a6a41845e455183f89c5035f18,computers,1,4590.0,4590.0,5.0
a1beef8f3992dbd4cd8726796aa69c53,musical_instruments,1,4399.87,4399.87,5.0
6cdf8fc1d741c76586d8b6b15e9eef30,consoles_games,1,4099.99,4099.99,5.0
6902c1962dd19d540807d0ab8fade5c6,watches_gifts,1,3999.9,3999.9,5.0
4ca7b91a31637bd24fb8e559d5e015e4,small_appliances,1,3999.0,3999.0,2.0
4c50dcc50f1512f46096d6ef0142c4a9,unspecified,1,3980.0,3980.0,5.0
0563d4cc419141eab2e5b438046e844e,garden_tools,1,3930.0,3930.0,4.0
0eb41884a8773e019708fb8409fd8347,baby,1,3899.0,3899.0,5.0
dd113cb02b2af9c8e5787e8f1f0722f6,sports_leisure,2,7749.0,3874.5,4.5
1953c4e517bc25739bc4223ede2ff5bc,watches_gifts,1,3700.0,3700.0,5.0
071930404657f7cd416f75bd063a9d4b,computers_accessories,1,3699.99,3699.99,4.0
5e954c4ed342c50436d25d5f50a34919,computers,1,3549.0,3549.0,5.0
34f99d82cfc355d08d8db780d14aa002,computers,3,9399.97,3133.3233333333333,4.666666666666667
0c104824e973388d487c67a3d346e96d,health_beauty,1,3124.0,3124.0,5.0
17d98fc630d23a628ec1130f8d69d1d2,cool_stuff,1,3109.99,3109.99,1.0
6e729bd456c54469a9af4c8774f1eab7,garden_tools,1,3105.0,3105.0,5.0
6054d161235b97a4aaccea2a086d30b8,construction_tools_safety,1,3099.9,3099.9,5.0
0cf5798cf0a69ca39b286d63dd5a9501,sports_leisure,1,3099.0,3099.0,4.0
7e53e051875b2a0c9f22acd8a9a29a20,industry_commerce_and_business,1,3089.0,3089.0,5.0
cc1829caca1897ee76144ef20a32330f,sports_leisure,1,2999.9,2999.9,5.0
470433f95ba906e17efac3fce39e9ffd,computers_accessories,5,14999.449999999999,2999.89,4.8
2b69866f22de8dad69c976771daba91c,agro_industry_and_commerce,1,2990.0,2990.0,2.0
a8bac9bc4001039c362db47eee5aee9a,computers_accessories,1,2951.0,2951.0,4.0
27274145782d0048827cb28b7786323b,small_appliances_home_oven_and_coffee,1,2899.0,2899.0,4.0
797897e182469fff3c330560d2fc851f,health_beauty,1,2899.0,2899.0,3.0
817880704f1fcf911b4342385f701fc1,health_beauty,1,2799.65,2799.65,5.0
d7324d4c913e7b424cb61675dafc8c10,sports_leisure,1,2799.0,2799.0,1.0
44c7b85d371365e52230e2e0efb8e0d8,health_beauty,1,2749.65,2749.65,5.0
15151e8a937f6a4d1a4f0c03c765c6f2,garden_tools,1,2749.0,2749.0,1.0
0e030462875259ec0cb868f7ecf1fd5e,unspecified,1,2740.0,2740.0,2.0
e51071c4622d7a15494656e912c8d55b,watches_gifts,1,2700.0,2700.0,5.0
3a1855685a49813f60e6193864f7215e,baby,1,2699.0,2699.0,5.0
e63cb7bb4e916e643c1d4785da2b2846,health_beauty,1,2699.0,2699.0,5.0
cea7edf64d9e93fbf6b89cc3ba537cd9,garden_tools,1,2690.0,2690.0,1.0
86999f823d7791c5796d506ae0ed44ea,garden_tools,1,2689.0,2689.0,5.0
a233df9a388d27dbdfd31731d4236db0,computers_accessories,2,5299.98,2649.99,3.0
122bedead6e7541d311e6e0ab3cf248f,cool_stuff,2,5298.0,2649.0,2.5
1ed724b5e4b638eeb4bd3487d88b8f28,cool_stuff,1,2649.0,2649.0,5.0
3ecf69ee1fe21cfd40b30cbea549e563,small_appliances,3,7868.0,2622.6666666666665,3.3333333333333335
5263b67de8e3edbade45ea923f6c4e79,sports_leisure,1,2600.0,2600.0,5.0
1231bc5d1cab6d3f64357eba69240f63,garden_tools,1,2550.0,2550.0,5.0
ab50aa8d9af0addb7f96149c8b8cee86,cool_stuff,1,2499.99,2499.99,5.0
993ac19aa975075775c16ba15426f8be,computers_accessories,1,2499.75,2499.75,1.0
8b502ca34e28d30605bc667b965b6abf,watches_gifts,2,4998.9,2499.45,5.0
2b9de6c892dd8bfb80322b1650d9904e,pet_shop,1,2498.0,2498.0,5.0
